Week,Day,Type,Session/Exercise,Distance/Load,Target Pace,Completed,Actuals,Comments,Date
"ðŸŸ© WEEKS 1â€“4 â€” Aerobic Base + Fat Utilization
",,,,,,,,,
1,Mon,Easy Run,Easy Run,6km,6:40,Yes,7:03/km 6km 80% Zone 2,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",November 03
1,Wed,Tempo Run,Tempo Run,5km,6:00,Yes,5:07/km 5km 86.9% Zone 4,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",November 05
1,Fri,Quality Run,Quality Run,6km,5:15,Yes,6.8km Sub 5/km 6x1km @pace,"Felt amazing during the run, leant into the new stride. ",November 07
1,Sun,Long Run,Long Run,12km,6:50,Yes,9km 7:35/km ,"Legs and body felt fine, extreme heat weather cooked the run and had to walk in parts and take lots of breaks. Never again",November 09
2,Mon,Easy Run,Easy Run,6km,6:38,Yes,6km 6:53/km 158avg heart,Truly easy run felt really ,November 10
2,Wed,Tempo Run,Tempo Run,5km,5:58,Yes,5km 5:45/km avg ,"Great run felt awesome, good speed patches. Slowed down and did lots of spins to help Hassan catch up ",November 12
2,Fri,Quality Run,Quality Run,6km,5:12,Yes,6.67km 4:30-5:15/km ,"Run was great, working on forward lean. Gel made me sick into 5th and 6th km",November 14
2,Sun,Long Run,Long Run,13km,6:45,Yes,13km 6:33/km 1hr in Zone 2,Felt super solid in the Zone 2 at a higher pace than usual and felt literally easy,November 16
3,Mon,Easy Run,Easy Run,6km,6:35,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",November 17
3,Wed,Tempo Run,Tempo Run,6km,5:55,Yes,5km 4:30/km avg,"Treadmill run, pace on watch wildly off ",November 19
3,Fri,Quality Run,Quality Run,Fartlek,5:10,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,November 21
3,Sun,Long Run,Long Run,14km,6:40,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",November 23
4,Mon,Easy Run,Easy Run,7km,6:33,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",November 24
4,Wed,Tempo Run,Tempo Run,6km,5:52,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",November 26
4,Fri,Quality Run,Quality Run,Hills,5:08,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,November 28
4,Sun,Long Run,Long Run,15km,6:35,No,,"Endurance build, RPE 6. Negative split last 3â€¯km.",November 30
ðŸŸ¨ WEEKS 5â€“8 â€” Performance Build + Speed Endurance,,,,,,,,,
5,Mon,Easy Run,Easy Run,7km,6:30,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",December 01
5,Wed,Tempo Run,Tempo Run,6km,5:50,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",December 03
5,Fri,Quality Run,Quality Run,Intervals,5:05,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,December 05
5,Sun,Long Run,Long Run,16km,6:30,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",December 07
6,Mon,Easy Run,Easy Run,7km,6:28,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",December 08
6,Wed,Tempo Run,Tempo Run,7km,5:48,No,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",December 10
6,Fri,Quality Run,Quality Run,Fartlek,5:03,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,December 12
6,Sun,Long Run,Long Run,17km,6:25,No,,"Endurance build, RPE 6. Negative split last 3â€¯km.",December 14
7,Mon,Easy Run,Easy Run,7km,6:25,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",December 15
7,Wed,Tempo Run,Tempo Run,7km,5:45,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",December 17
7,Fri,Quality Run,Quality Run,Intervals,5:00,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,December 19
7,Sun,Long Run,Long Run,18km,6:20,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",December 21
8,Mon,Easy Run,Easy Run,8km,6:23,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",December 23
8,Wed,Tempo Run,Tempo Run,7km,5:43,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",December 25
8,Fri,Quality Run,Quality Run,Hills,4:58,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,December 27
8,Sun,Long Run,Long Run,19km,6:15,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",December 28
ðŸŸ¥ WEEKS 9â€“12 â€” Race Peak + Taper,,,,,,,,,
9,Mon,Easy Run,Easy Run,8km,6:20,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",December 29
9,Wed,Tempo Run,Tempo Run,8km,5:42,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",December 31
9,Fri,Quality Run,Quality Run,Fartlek,4:57,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,January 02
9,Sun,Long Run,Long Run,20km,6:10,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",January 04
10,Mon,Easy Run,Easy Run,8km,6:18,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",January 05
10,Wed,Tempo Run,Tempo Run,8km,5:40,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 07
10,Fri,Quality Run,Quality Run,Intervals,4:55,No,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,January 09
10,Sun,Long Run,Long Run,21km,6:05,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",January 11
11,Mon,Easy Run,Easy Run,8km,6:15,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",January 12
11,Wed,Tempo Run,Tempo Run,8km,5:40,No,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 14
11,Fri,Quality Run,Quality Run,Intervals,4:55,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,January 16
11,Sun,Long Run,Long Run,14km,6:00,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",January 18
12,Mon,Easy Run,Easy Run,9km,6:15,,,"Relaxed aerobic run, RPE 4â€“5, focus on cadence & breathing.",January 19
12,Wed,Tempo Run,Tempo Run,9km,5:38,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 21
12,Fri,Quality Run,Quality Run,Fartlek,4:55,,,Alternate intensity: Fartlek 45â€¯minâ€¯(2â€¯minâ€¯on/off)â€¯|â€¯Hillsâ€¯6Ã—200â€¯mâ€¯|â€¯Intervalsâ€¯6Ã—1â€¯kmâ€¯@â€¯pace.,January 23
12,Sun,Long Run,Long Run,21km,5:58,,,"Endurance build, RPE 6. Negative split last 3â€¯km.",January 25