Week,Day,Type,Session/Exercise,Load,RPE,Completed,Actuals,Comments
1,Tuesday,Foundation & Form,Full Body Strength,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Back Squat, RDL, Push-up, Lat Pulldown, Plank, Calf Raise. Focus on controlled tempo, proper form, and progressive overload."
1,Thursday/Friday,Foundation & Form,Full Body Hypertrophy,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: DB Bench, Bulgarian Split Squat, Seated Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
1,Saturday,Foundation & Form,Full Body Conditioning,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Kettlebell Swing, Goblet Squat, Shoulder Press, TRX Row, Hanging Leg Raise. Focus on controlled tempo, proper form, and progressive overload."
2,Tuesday,Foundation & Form,Full Body Strength,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Back Squat, RDL, Push-up, Lat Pulldown, Plank, Calf Raise. Focus on controlled tempo, proper form, and progressive overload."
2,Thursday/Friday,Foundation & Form,Full Body Hypertrophy,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: DB Bench, Bulgarian Split Squat, Seated Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
2,Saturday,Foundation & Form,Full Body Conditioning,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Kettlebell Swing, Goblet Squat, Shoulder Press, TRX Row, Hanging Leg Raise. Focus on controlled tempo, proper form, and progressive overload."
3,Tuesday,Foundation & Form,Full Body Strength,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Back Squat, RDL, Push-up, Lat Pulldown, Plank, Calf Raise. Focus on controlled tempo, proper form, and progressive overload."
3,Thursday/Friday,Foundation & Form,Full Body Hypertrophy,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: DB Bench, Bulgarian Split Squat, Seated Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
3,Saturday,Foundation & Form,Full Body Conditioning,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Kettlebell Swing, Goblet Squat, Shoulder Press, TRX Row, Hanging Leg Raise. Focus on controlled tempo, proper form, and progressive overload."
4,Tuesday,Foundation & Form,Full Body Strength,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Back Squat, RDL, Push-up, Lat Pulldown, Plank, Calf Raise. Focus on controlled tempo, proper form, and progressive overload."
4,Thursday/Friday,Foundation & Form,Full Body Hypertrophy,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: DB Bench, Bulgarian Split Squat, Seated Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
4,Saturday,Foundation & Form,Full Body Conditioning,Bodyweight to Moderate Load,6-7,,,"Focus on movement quality, moderate load, 10–12 reps per set. Exercises: Kettlebell Swing, Goblet Squat, Shoulder Press, TRX Row, Hanging Leg Raise. Focus on controlled tempo, proper form, and progressive overload."
5,Tuesday,Strength & Power,Full Body Strength,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Barbell Back Squat, Romanian Deadlift, Bench Press, Pull-up, Weighted Plank. Focus on controlled tempo, proper form, and progressive overload."
5,Thursday/Friday,Strength & Power,Full Body Hypertrophy,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Front Foot Elevated Split Squat, Incline DB Press, Cable Row, Dumbbell Curl, Triceps Pushdown. Focus on controlled tempo, proper form, and progressive overload."
5,Saturday,Strength & Power,Full Body Power,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Deadlift, Step-Up, Push Press, Jump Squat, Med Ball Slam. Focus on controlled tempo, proper form, and progressive overload."
6,Tuesday,Strength & Power,Full Body Strength,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Barbell Back Squat, Romanian Deadlift, Bench Press, Pull-up, Weighted Plank. Focus on controlled tempo, proper form, and progressive overload."
6,Thursday/Friday,Strength & Power,Full Body Hypertrophy,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Front Foot Elevated Split Squat, Incline DB Press, Cable Row, Dumbbell Curl, Triceps Pushdown. Focus on controlled tempo, proper form, and progressive overload."
6,Saturday,Strength & Power,Full Body Power,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Deadlift, Step-Up, Push Press, Jump Squat, Med Ball Slam. Focus on controlled tempo, proper form, and progressive overload."
7,Tuesday,Strength & Power,Full Body Strength,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Barbell Back Squat, Romanian Deadlift, Bench Press, Pull-up, Weighted Plank. Focus on controlled tempo, proper form, and progressive overload."
7,Thursday/Friday,Strength & Power,Full Body Hypertrophy,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Front Foot Elevated Split Squat, Incline DB Press, Cable Row, Dumbbell Curl, Triceps Pushdown. Focus on controlled tempo, proper form, and progressive overload."
7,Saturday,Strength & Power,Full Body Power,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Deadlift, Step-Up, Push Press, Jump Squat, Med Ball Slam. Focus on controlled tempo, proper form, and progressive overload."
8,Tuesday,Strength & Power,Full Body Strength,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Barbell Back Squat, Romanian Deadlift, Bench Press, Pull-up, Weighted Plank. Focus on controlled tempo, proper form, and progressive overload."
8,Thursday/Friday,Strength & Power,Full Body Hypertrophy,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Front Foot Elevated Split Squat, Incline DB Press, Cable Row, Dumbbell Curl, Triceps Pushdown. Focus on controlled tempo, proper form, and progressive overload."
8,Saturday,Strength & Power,Full Body Power,Bodyweight to Moderate Load,7-8,,,"Increase load, decrease reps (6–8 range). Introduce explosive and unilateral work. Exercises: Deadlift, Step-Up, Push Press, Jump Squat, Med Ball Slam. Focus on controlled tempo, proper form, and progressive overload."
9,Tuesday,Hypertrophy & Definition,Full Body Strength,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Leg Press, DB RDL, Push-up to Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
9,Thursday/Friday,Hypertrophy & Definition,Full Body Hypertrophy,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Goblet Squat, DB Bench, Seated Cable Row, Hammer Curl, Face Pull. Focus on controlled tempo, proper form, and progressive overload."
9,Saturday,Hypertrophy & Definition,Full Body Conditioning,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Walking Lunge, Kettlebell Clean, Arnold Press, TRX Row, Hanging Knee Raise. Focus on controlled tempo, proper form, and progressive overload."
10,Tuesday,Hypertrophy & Definition,Full Body Strength,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Leg Press, DB RDL, Push-up to Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
10,Thursday/Friday,Hypertrophy & Definition,Full Body Hypertrophy,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Goblet Squat, DB Bench, Seated Cable Row, Hammer Curl, Face Pull. Focus on controlled tempo, proper form, and progressive overload."
10,Saturday,Hypertrophy & Definition,Full Body Conditioning,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Walking Lunge, Kettlebell Clean, Arnold Press, TRX Row, Hanging Knee Raise. Focus on controlled tempo, proper form, and progressive overload."
11,Tuesday,Hypertrophy & Definition,Full Body Strength,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Leg Press, DB RDL, Push-up to Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
11,Thursday/Friday,Hypertrophy & Definition,Full Body Hypertrophy,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Goblet Squat, DB Bench, Seated Cable Row, Hammer Curl, Face Pull. Focus on controlled tempo, proper form, and progressive overload."
11,Saturday,Hypertrophy & Definition,Full Body Conditioning,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Walking Lunge, Kettlebell Clean, Arnold Press, TRX Row, Hanging Knee Raise. Focus on controlled tempo, proper form, and progressive overload."
12,Tuesday,Hypertrophy & Definition,Full Body Strength,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Leg Press, DB RDL, Push-up to Row, Lateral Raise, Cable Crunch. Focus on controlled tempo, proper form, and progressive overload."
12,Thursday/Friday,Hypertrophy & Definition,Full Body Hypertrophy,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Goblet Squat, DB Bench, Seated Cable Row, Hammer Curl, Face Pull. Focus on controlled tempo, proper form, and progressive overload."
12,Saturday,Hypertrophy & Definition,Full Body Conditioning,Bodyweight to Moderate Load,7,,,"Slight deload for running performance, moderate load 10–15 reps. Focus on form and aesthetics. Exercises: Walking Lunge, Kettlebell Clean, Arnold Press, TRX Row, Hanging Knee Raise. Focus on controlled tempo, proper form, and progressive overload."